"","artist","lyrics","year"
"29","Trippie Redd","Uh, take a vivid picture, no photos
Implement that shit in to your mind just so you know though
Sucker free living, I'm a say that that's the motto
So for any nigga on that sucker shit, I'm no hoe, broMight just have to drop a bomb, Han SoloGot me bicken back being bool, Quasimodo
All about my paper, got to get my fucking dough, hoe
Always on the fucking go go, you a bitch like Tony Romo
Niggas came around, now they extinct like Dodos
Meanwhile I'm in New York fucking up SoHo
Just bagged a new chick, Caroline, nicknamed Coco
Took her to the telly, now little baby going loco
She just give me face, ain't no fucking, that's a no no
And she going thirty early, dirty no soap though
I laugh at the haters, everything they say a joke though
And I'm screaming ""Fuck 12,"" all these foul ass po-po
Yeah, uh, but nowadays I really miss my fucking idols
So that's the title, I grab a bible, pray for my rivals
Dead on arrival, I swear this shit to me like a cycle
Bodies in piles, blood rivers resemble Niles
They need survival, they need to rehearse a recital
I just sit back and listen to old Wayne songs and
Get dome from a bitch while I brainstorm
And spit flames while also making it rain, storm
You see, I can't ignore, and you niggas don't see it's in your brain
And snore, and you sleep on me until you can't no more and
Don't fake on me and try to play the boy
I don't know why I feel like nobody loves me
Or why they feel like my intentions something ugly
Or why I feel like everyone needs something from me
Or why I feel like everyone just saying ""Fuck me""
Or why I feel like the opposition gon' bust me
If I gave you my heart, would you still love me?
Lately, baby I feel like nobody trust me, is it just me?","2018"
"30","Ab Soul","The sum of all fears is a and billion and three
More of a reason why everybody's scared of meCause ain't nobody sayin' nothin' rare to me
Just comedy, or a parody
You could suck two dicks for comparin' me
To any rapper that fits in this category
Section 80's baby, pray you follow me home
See my habits, my contradictions and my systems of controlTop Dawg EntertainmentThey saying we saviours like this ain't dope we slanging, hopeYou can get a feel for the skill like the famous coachAin't need a ring on my finger to be a championYou can't be on my level, you'd get expired
We was racing on unicycles, I wouldn't be the one tiredSoulo Ho3, well known from Del Amo to SoHo hoDon't stop, roll more dro till you comatoseMy egg's fried, probably why I like omelets the mostLonnie wanted me to vote, I love Lonnie but no
See I ain't into politics and shit, I got my own poleWhat's the difference between a person and a human?
One of 'em is free, the other one is stupid
And I'm caught in between the two, which direction are you in?Put a ""Yo"" in front of ""universe"" and tell me what do you get?","2013"
"31","Action Bronson","Winter time, the Beamer color Danny Glovers neck
Better be careful who you runnin' with
I'm at the top of the food chain there's blood inside the waterI had to grow up fast because I had to feed my daughter, right
Make this right at the lightPop a Uie lite the ooeyNow I'm higher than some Ewing'sBreezing on the belt
Rocking sheep skin sheeps at bay
Damn Bronson why you be that wayBitch I'm still that same motherfucker that you know from youth
From goof troopNow you sticking drugs inside your poop shoot
New Coupe on the duce felxin' heavy
Perfect plex her pussy at the Getty
I'm alpha feddie
Pull the limo on the lawnJump out I'm just hallucinating, acid and a Knicks hat
Burner in her dress pants
Knife inside my left hand
Now theres just a dead lamb
Tryin' to feed my famOoh yeah, ten golden grams
No bears
Fold paper like chairsPulled off capers by the stairs
Capers on the veal piccataLost paper cuz Prince Fielder couldn't field a fucking pop up
Fucking bastard, it's me","2013"
"32","Angel Haze","[Verse 1: Angel Haze]Yo, I'm abuse to these bitches
They endure domestic violenceFlowin' loud like the roar out the mouth of a lionAll these hoes get delete, even when I ain't watchin'
Puttin' all ya'll careers in a custom made coffin
Yes, I'm a problem
Fuck the confusionSuccess is like a lonely ass road to seclusion
Me, I'm prepared for it
I know I'mma tear thru' it
I'm about to blow up like balloons with some air thru' it
Tell them what I don't give, 10 fucksDead skin and they bout to get nip/tuck
Mines like a bullet, I kill you if I shoot it
Perfected my craft
The best go, cool whip
Fuck this game while I'm cummin' in it raw shitOverlapping bitches who runnin' it like they jogging
Ready or Not
Im comin for you bastardsWhippin' nigga's asses they finna call me ""Massa""Yo, My flow so massive
Fuck out of my space ho, NASA
Point is that I'm on point and the pointed to flex on you bitches like I'm fucking double-jointed
Yo, Ya'll all overOn top of my green like lawnmowersShit, I am ahead
Ya'll all shouldersGet the fuck off my clit
Ya'll wallholders","2013"
"33","Dizzy Wright","YoComing from the west put the V in front of the L
I couldn't tell that they wanted to see me failWent from XXLs to being on XXLSo when they try to clown, they making fun of themselves
This is pro-gression, work ethic, with a cold messageDedication, annihilating your whole sectionDizzy Wright, I'm Heaven-sent with the Old TestamentMixing my music with my spiritual connectionDamn, how he do it? 22 when he movingI heard it was my moment, I'm just here to fucking prove it
I'm about to lose it, had to 1992 it
Flat top with a passion for lyrics over producing
Obligated, and can you believe he out of Vegas?And he fly, probably change the appearance of the populationYeah, this my Inauguration, yeah, I got 'em all debating
I ain't tripping, I'mma just go harder for my daughterBottom line is niggas like me is hard to findTop 10 freshmen, I better be in the starting 5Like for the weed for me, I sparking mine
Cause we done did the shit
And now all my fans get to witness itGet money and we flipping itYou ain't a nigga with an attitude
Nigga you just ignorant
Hang yourself if you ain't feeling thisCause we dreamed it and believed it
Now I'm positive thinking
Dizzy Wright","2013"
"34","Joey Bada$$","The flows is acidicCruising in a slow-ass Civic, I got gas, hit itHold up, cops passed, I stop, laugh, hit itJakes is snake lizards, if they smell they won't come hitherNigga, I hisses at your missesSlither down her throat, spit her up, (mmm) deliciousI'm too malicious, this one for my mistresses
In distress, cause positions that I put 'em in could stretchThem can't contest him, get the rude boy vexTrue shotta to give him two shots, rude bwoy fi deadBoom, bye bye in a batty man headThe sooner I die, sooner them gets aheadSo you do the math, put the pieces to the puzzles likeVoodoo in the trap, no string attachedIn fact, it's all connected in the sense, neglected in the
Cents, plus well collecting my respect, respect","2013"
"35","Logic","[Verse]
See, I’m a motherfucking lyricist, bitches they fearing usBack in the day they wasn't hearing this, now I’m the one who’s steering this
I’m self-driven, will he kill it? – That’s a lyrical given
New-School style but the 90’s is where my lyrics livingMy flow is like another Earth, Second natureI disintegrate ya’, migrate ya’, then light-saber decapitate ya’
In the beginning they said it was fabricated, as soon as the numbers escalated
But these fuckers just mad that I made it
More chains than when a slave traded, check it
I’m under MCs' skin like muscle tissue, what’s the issue?
If you talking shit, then I'ma hit you
Grab a pistol then whip you, then dip you in lava, ain’t no one ‘liver
Second I arrive, I murder it, no, you never heard of it
So sick, my lyrics I don’t spit – I regurgitate themAs listeners chronologically study my words verbatimAssassinate em’, the second I raid them like five-0We pull off the heist and flee to Cabo nowI mask emotions like a robbery, 'cause when it comes to matters of the heart
Women will clog your arteriesVisionary - V’s up – RattpackYoung Sinatra, Maryland's what I'm reppin'Conceal the flow behind the image like a murder weapon","2013"
"36","ScHoolboy Q","All of that false claiming
Have you in your thoughts hanging
Them bullets deport, aimed at the top of your heart
Get Kaiser all blue for the cross, shoot better then cops on the force and forcing your life as a corpse
Of course he cremated and tortured around with the set i endorsed
Either my hood or die from your choiceYou're silent, which fuck up your voice
And two till ya throat and your boys, and amigos are seeking destroy
Trip and you enter the void, you should've been trying to avoid
The stance says my troops are deployed
You get super-soaked with the toyCrumbled in chip to the ahoyCuz your mouth forget, kneeled to the floorBody look bloody and gory, DA ain't getting the storyGunning like Robert Horry, guzzled in OE 40Back to the block and banging, nigga what set you claiming Becareful on what you saying, these bullets be super saiyanRun around all black now ball go blatRata tat-tat meta eastern gat, a armeniacKinda chubby and fat
So under my tummy strapped, hopping up out the lat
Like that","2013"
"37","Travis Scott","Lifted, I'm feeling so gifted, tripping, I'm constantly falling
Channel view of the whole villa, plotting while burning a Marley
Damn these rare thoughts is so endless, bougie bitch whipping the 'Rari
Out in the jungles, make it rumble, she get wet like safari
Bitches don't know, I teach 'em the ropes, Scottie the Pope
Now only Giuseppe, Celine, Bottega
Proenza, the Schouler is all that she know
Might let the drop top, since she's lamping with the trans am, keep it low
She pulled out the hard white on the highway for the line
Listen, pimping your bitches might visit my disick, disick all business
Might blizzard, roll up crib look like the tele, left jelly all over her biscuit
Last spring I lost 10K in teeth, I copped it but now I don't miss it
World found it, teeth probably glissing, in fact that nigga prolly missing
La Flame","2013"
"38","Trinidad James","Ha
I'm an A-Town nigga, but I'm [?] to the bone
[?], I don't drink no Patrone
I ain't seen a nigga like me never
These gold chains got you bitter?
These gold chains got me bitches
Ha, and I still don't fuck with fuck niggas
And I'm still fucking with hood niggas
And I'm still fucking these hipster bitches
If it's your bitch, it ain't your business
And you can hate on me if you want to
But a nigga like me gonna do what I do
James","2013"
"39","Fetty Wap","[Verse 1]
Ay, started on 22nd, I'm from HarlemNumber one like I'm D. Rose, I be scorin'All net with the free throw, Chris Paulin'
Old school sittin' on Champs: Mike Jordan
Remy Boyz, big Guwop goin' all out
Bad bitch, I'm fuckin' her good, I gave her all dick
All these niggas so pussy 'cause they all wet
My boys pullin' out guap 'cause we all richMy boys pull out big knots 'cause we all flip
My boys givin' out shots 'cause they all sickRemy Boyz, we popped up, they like, ""Ah, shit""","2015"
"40","DeJ Loaf","[Verse]
Man, these shoes cost me a couple thousand
And I still stay at home with my mama
All white, bitch I’m out here like Osama
If they want me they gon’ have to come and find me
Park the whip, got a ticket on my tint
Got a temper out this world
Please don’t stunt on me, I’ll flip
I’m the shit, got you pissed
Bout it, bout it, feel the silk
And these [?] white as fuck
Vitamin D, yeah, they milk
You lookin’ like the help, I look like I can help
I look like I can cook, all white just like a chef
These niggas want to be rich but I’d rather have the wealth
Cause rich don’t last forever, I can’t live no check to check
So I invest, make it stretch, all these groupies at my neck
You a rat, now you trapped, get your goofy ass back
Send a text’ll get you whacked if you ever disrespect
Hold your thought, eat this TEC
Do more, talk less","2015"
"41","Vince Staples","[Verse]
I apologize If I might be the reason that your son never made it back home
He should have gave up the phone
Armed robberies at Mayfair Park
Met every nigga that I got with me at Mayfair Park
The comraderies, I build is with niggas that will kill
Life start sheddin' tears and it's all downhill
I put my homies in the dirt, and the scars ain't heal
But my eyes stay dry, tecs pour out shells
Piss poor on the wic like ""fuck it, I'm a crip""Cause a blue collar nigga get treated like shit
Quite ironic, quiet on the set
Listen to the violence I encounter ridin' for the set
Followin' the guidance of the people penniless
Just another piece of shit
That the preachers wasn't reachin' with the speeches from the pit
Lookin' who we pit against, crime black on black
The police pull up, clap and wet our backs, till we laid out flat
And nobody care the next day, I guess it's no fair play
You see my big bro Pac so that means I'm strapped
North Side, NY on my baseball cap
Raised as a have not had plots on a fortune
Reduced lunch, had a nigga feelin' less important
Rich man in Porsches, broke moms on bus stops
Livin' with emotion, look what the love got
Sittin' in a church, givin' her last dollar
Prayer wasn't the answer, they was answered with ""nada""
See my heavenly father no better
Than the one that put his dick in my mama
Long chedda was a dream
We was government cheesin' in 'em mugshots
Long as these niggas fiend for what the plug got
We gon' make our money with greedings on the side walk
Through car windows is tryna get the gig off
Knock a nigga wig off for actin' like a bitch
Keep a seven in the dresser and a mac up in the whip
Case they try to catch me slip-in'","2015"
"42","Raury","[Verse 1]
Chill out with the bullshit, don’t be messing with my vibe
Sun is slowly setting on the children of the light
We be used to staring at the clouds, stars, gleaming lights
UFOs beaming ‘cross the East Atlanta sky
You think they exist and so do she and so do I
Heard he said they walk amongst us dressed like human kind
You would keep on talking bout some otherworldly topics
Praying that they couldn’t hear us cause we know they got the spies
I heard you going to college and I know your mama proud
You gon’ take a loan and get financial aid or something
Told me keep in touch when I get big and breaking out
Hope that I can say I know you twenty years from now
Watch the stars go up as the sun went down
All the friends pulled up, Mary Jane went roundAll bound for a day to be kings with the crown
And the queens with the gown way beyond the hometown
But that’s not always how it goes
Everyone they living how they think they were supposed
To live, and they look at me like a dog and bone
I can teach you how to fish but I ain’t handing you salmon, dammit
You can meet me by the lake and we can try again
I don’t care how long it take
If it don’t work we’ll be here another day
Until then lay in the grass and relax and watch
The stars with me","2015"
"43","GoldLink","[Verse]
We built the pyramids
One percent of the five percent understand the true intimacy and power we contributed to your country let alone your world
So how is it that we are stuck in a business with a system perpetuates us on the side?
They keep us in a condition where we ain't meant to survive
But our hood dealers and killers, nigga that's our gods
So why fault a nigga like me for wanting to be a god too?
Shoot a negro father from his son and take that same negro's son and put him on the corner and what do you get?
Another nigga like me who don't give a fuck about you
It's about humanity not color
Why leave these kids raised by single mothers?
And look at me crazy for wanting to stay boxed in the community in which you placed me
Placed us, penalized us, scolded us when you created the box
I will no longer live in the box
The generational curse will be broken
Because I once told myself that the prettiest picture was painted on the plainest day
Beautiful bliss and my wrist stroke my life's pain
The struggles of success reaching for a higher plane
Lord if you take me make me crash with Aaliyah plane
And we will be set free
Sincerely, us","2015"
"44","Tink","[Verse 1]
Let’s take it back to 2010
When I had just picked up the penPeople told me I was foolish
All I knew was I could do thisAll I said was I’m gon’ prove it
I’mma make the world believe
S'bigger than what I thought, man, I’m writing what people need
But I suffer with some rejection
Most niggas don’t want to hear the truth unless it’s coming from someone with a lighter complexion
But that’s ok, I’ll take the backroad
When people knock you down you don’t give up, you just get back on
Cause ain’t no time for cushion, I’m pushing until I get what’s deserved
Putting pain in these verses so that my pockets won’t hurt
Listen mama, I told you I’mma get us out the jam
Hate the city that we live in, got to get it
I be thinking like
Ooh, if I ruled the world
I buy you like 23 Bentleys, I put some shoes on McKinley
I go to Africa to put a water well in each city
I’m thinking
Ooh, if I ruled the world
I’d build a school in Chicago, open it just for the brothers
Just to turn around and only hire people of color
We thinking
Ooh, if I ruled the world
I’d put the game in a coffin
Too many dicks in the office
Give the people some real T like it’s a party in Boston
I be the Nas and the Lauryn, we out here worshiping foreigns
Too busy being influenced, forgot the reason we do it
Well, Ooh, I can’t wait to change the world","2015"
"45","Shy Glizzy","[Verse]
Okay, it’s my go
Glizzy Glizzy, hi ho
This shit bout to go viral
Screaming, ""Fuck my rivals""
I’m a fucking idolShoot y’all ass like Malvo
Streets' hottest, this youngin, bitch
I’m hotter than Alpo
Moving so much weight, oh my God, I’m doing typo
My bitch look like Kourtney K, she don’t got no lipo
Two hundred in a stingray, I just switched to Geico
Hello? It’s a nigga right now tryna give me two bricks for a show
My bitch so bad, she walk on rose petals
And I’m like Michael Jackson to the ghetto, B. Glizzy, bitch!","2015"
"46","K Camp","[Verse 1]Look, you ever been sick and tired of being tired?Living in a world where everybody want to count you outBut as soon as you make it, as soon as you make it
Everybody walking with they hand outI ain’t here to make friends, I’m here to make music
And prove to these niggas that I do it
Prove to these niggas that I do itPraying every night that a nigga don’t lose itY’all niggas do too much talking
I just let my work do the speakingJust say the word, I’ll kill the whole summerMotherfucker just give me a reasonI feel like I’m the realest nigga breathing
They been ask why your bitch chose
If you dig down deep might find a soft spot
Until then we don’t love these hoesLast year I counted money with my bros
I swear to god ain’t no better feelingMet a bad bitch in Minnesota last year
Say she 22, Andrew WigginsKWayy","2015"
"47","OG Maco","[Verse 1]
We the children of the rage
We the children of the days
We the children of goin' out in a blaze of glory
Hope I don't caught wit' that K, ho
If I do, my homeboy done switch his story
You know how that go
Ay, man, I seen the pick and roll
I seen the give-and-go
I seen my partner give some hoes a little change, you know
They did they thang, but anyway
We the children of...
Ay, where the pain? We need that
We hold that in, you can't see that
But, you know, I been stayin' in France
And, hey, we gon' bring that
Ay, you got the weed, I got the gin, let's mix that
We the children of...
Ay, man, I'm in school, but money a little bit more important
Uh, I think I need to go get this passport so I can keep stuntin' out
Just lookin' for a reason
For me to go and do shit you can't believe in
But, ay, we the children of makin' make-believing
And we the children of makin' somethin' realer than you can see
I mean, I got friends who I can't see
They got twenty years in
I got friends who fifteen years in
They was fifteen years when they went in
We the children of that shit, we the children of this shit
We the children of if-you-ain't-got-it-better-have-a-full-clip
Thirty clip, fifteen clip, sixteen clip
Movie clip, YouTube clip, World Star clip
I'm a world star, I got a world star clique
You know what I'm sayin'? We the children of that shit too
OGG, we the niggas that made the rules
We the children of it ain't no new school, we the new school
We the old school, we the one school
Shit, you the two school, you the two fools
It's three fools over there and they ain't nothin' like you
I ain't nothin' like you 'cause you food, you feel me?
We the children of get-real, man, get-pills, get-a-feel
Shit, get whatever you need, but by all means keep it real
Children of the rage, it's OG Mac, OGG","2015"
"48","Chance the Rapper","[Hook]Ice, melting in my chain
Pretty as my hair
Ugly as my name
Dirty as my gold
Comfy as my chair
Ugly is my name
Ugly is my name
[Verse]No weapon formed against me shall prosperMy sword look just like Michael'sHe lent it to me, this a house of GodI'm just leasing, he rent it to meThis sentence he penned it tooThat's a Gmail, he sent it to meI can send you his contact, hit him if you in combatHit him if you in traffic, even if there ain't no staticThat's my G, he got me shinin'My hair, he made it tangledMy seed, don't need no liningA halo fits on an angel
And if the shoe fits, I'll tie his and let the kiddie rapFinally give the city back, and ask God for a piggy-backUp on his shoulders I notice, I'm within earshotI yell, ""Thanks for makin' us in your image
You got a good sense of hubris""","2014"
"49","Isaiah Rashad","[Verse]Baby hold my chalice, this some pimp shitThis that stay over with my daddy and his mistressI could drink hundred proof a gallon, fuck a kidneyFuck with me, I just want some balance and some bitchesFuck a dream, I say anything is realisticI see a challenge Imma gun it down like it offend meI suppose, Lordy take my vision off the pussy holeFew are chose, God I wanna say it, but they took it wrongBack the hoes, can I change the world with Cadillacs and Volks?
Can I breed it like we need it like we back to back we bought?I don't want my child to grow up feeling like his daddy gone
Daddy left, feeling just like me I'm waiting on your stepsWhat is blessed?
How I end up rapping, how we feeling stressed?
Shit I'm back to burgers in the locals if you ain't impressedI need motivation, all I'm asking is you bring your bestRain is just another confrontation, know that life a bitch
Life is this","2014"
"50","Ty Dolla $ign","[Verse]
I like to get my dick sucked while I'm getting high
Make her deep throat, her mouth never get dry
I say ""Who pussy is this?"", She say ""Dolla $ign""
Whose pussy is this? She say ""Dolla $ign""
She strippin' still got nine to five
Say that she's mine but that's a lie
These hoes will tell you anything
She want the money and the fame
South Central niggas really don't be loving these hoes
These hoes don't be loving these niggas
Really, we all just want the money
Money, money baby, baby, Pusha Ink baby
Said she got blunts, I said ""I only smoke papers""
Come kick it with the Taylors, bunch of gang bangers
Pimps and players, young money makers","2014"
"51","Rich Homie Quan","[Verse]
My flow hard to bite for all you stale eatersAnd I'm still smart as hell like a Yale teacherPneumonia, I'm hot-headed, rare feverFoul call, no foul ball, play fair, people
I tell Bone that I'm a young nigga, worth some car lots
Two cellphones and a pistol, I call shots
I'm tripping, money shoestrings stacking tall knotsI'm living, doing new things I never thought aboutNo sick days on my job description, no calling offMy ho gone, I'm home alone, Macaulay Culkin
How could I know, she ready to go?House full of hoes, reality showShe sat in the ghost, no Casper, it'll go faster than it appearAnd that's a Phantom, not a real ghost so don't fear
And them double letters on the Rolls RoyceAnd I'm Ronald Reagan in that building, bitchReal recognize real, well I know Richie RichI got Dutch Masters for the kush smokersHold the reggie for the bush toters""Fuck blacks,"" what Bush told us, fuck that, we took over
I bust back like a foot soldier, give you good gas like a shook soda
Bulldozer, he cook cola, no haircut, give you the part
Asshole, but I'll do the Bart, Margie's not cool with her
Lisa mad I'm on Simpson, for real, and Homer say he through with herMolly make your heart beat fast, I bought me a house across from Mia's houseAnd Maggie in the backseat laughing, calling me Daddy
I ain't your Papi, I'm pimpin' out of three carsSpeaking of the Simpson, I ain't even mention free bars","2014"
"52","Vic Mensa","[Intro]Hello? Raping You Records?
Nah I ain't trying to sign[Verse]After this year I'll probably have a couple more friends
Couple more attention seekers trying to sneak up in the Benz
Ain't no space in the two-seater, choose either the coupe or your plansQuit playing, the gameboy's in the palm of my handI might flex, just to show niggas who the fuck I amCocaina pure on the Pacific beaches and sandWhat's better, than saying I would be and now I am
What's better, than watching the little bro become the manVicSave Money","2014"
"53","August Alsina","[Verse]
Something that I got to tell somebody
Just in case you didn't knowI got to show you where I came from
So you can see where I gotta go
I started up with nothing
And I've been through some things
But there really ain't a difference
Not that I got a little changeI've been hood rich, and I've been brokeSinging in the choir y'all, even sold dopeI done been clean, and I've been high
Lived like a king and I had to get by
Had a couple tears in my bed at one time
Some down bitches when I didn't have a dime
I seen it all, done it all, heard it allAppreciate the rise, hope I never got to fallAlways thought that it would be good
But I never had it this good","2014"
"54","Troy Ave","[Verse]
Every re-up, I'm building, another level upWanna live life as a pilgrim, I'm not a settler
Shipments  full of birds, to my hood I'm ColumbusWith Cristal, Chris Wallace, and Chris Dudus
Gangsta rap, ceramic pack, you pay me I dap
You play me I clap, I'm just statin' the facts
I wanna be a millionaire so freakin' badHalf way there off crack really did it the most
Never did it to boast, sittin' amongst the gross
Pitchin' and gettin' toastCountin' and makin' jokes, about hatin' niggas that's brokeI would kill 'em but me makin' a killin's killin' 'em slow (Die!)
New car like a shot to the head (Bah!)
My new bitch like a push off the ledge (Ahh!)New songs, flex bombs, niggas fed
When I do this million dollar deal niggas gon' be deadI'm livin' takin' pictures with the Kool Aid smile
A flashy dope dealer, yeah you know my style
Had no hope nigga, I came up real wildMost of my friends are killers, some of them blew trial
See you in fifteen with good behaviorI don't make it doin' rap, I'mma be your neighbor
For now I be that nigga, New York savior
Save your breath debaters and bet your wages, powder!
Motherfuckers!","2014"
"55","Kevin Gates","[Verse 1]Would go and get a job, but I'd rather stay and stack
Fronted some niggas work and they ain't ever pay it back
But I fuck with 'emGet down, dirty, could go and touch 'em up
They momma like my momma so that'll kinda fuck her up
Low-key, them collared shirts got a button up
Say he got a lot of blow, he better button up
A hundred stacks, you owe this to the game
But you surprised? Man you know this never changed
And besides, you'd prolly blow this on a chain
Now take me to the safe 'fore I blow this on your brain
I tried to earn cash and they ask where I get it fromNigga keep feedin' me that work then I'm a nigga's sonZ28's with 8 fuckin' cylindersFurnished my apartment with Ashley MillenniumBitches keep askin' but Gates ain't givin' 'emTake 'em home, bend 'em, to the gate where I'm sendin' 'em
You gotta keep in mind, I'm a street nigga
If you get out of line, I'mma get street with you
I'm from a state, you stupid, you die from it
Buy a brick, I send it in Louis Vuitton luggage
Buy 10, I throw in a Louis Vuitton duffle
Mini MAK 90, Louis Vuitton muscle
On an island, like who want to be a millionaire?My kingpin speak Spanish and got pretty hair","2014"
"56","Lil Bibby","[Verse:]
I been grindin' for weeks, ridin' with the heat
I'm a real nigga I ain't hide from the beef
Plus I gotta lot of tasks to the streetsGot some young niggas on the ave with the DEverything for the low, sell mine for the cheap
You ain't gettin' money you ain't buyin' it from me
She givin' brain if she ridin' with me
She say she love me but she lyin' to me
But I just use her for the night then duck em'
M.O.B boy we don't cuff em', we don't love em'
These hoes bustin', we just fuck em'
We can't trust em'
And I'm married to the money need a wedding ring
I was broke not a kid need everything
I remember when a nigga had hoop dreams
Nigga playin' both sides like he got 2 teams
Pull off on the lot whip too cleanWay I'm ballin' you would swear I had a few rings
Every month I'm trying to pull up in a new thingEveryday I'm on a hunt for some new grain
If I want it, I bought it, I'm ballin'
These hoes keep callin', they stalkin'Look Bibby don't care what it cost him
These groupie hoes won't stay off him","2014"
"57","Jon Connor","[Verse]The most consistent and the most convincingThey say I'm gifted like I'm asking what you want for Christmas
Niggas ain't eatin' like they cabinet full of broken dishes
I hope for disses, I just kill itMore reason to make em' float with fishesI been nicer than the writers that you liking
The brain fool way more than the cyphers that you bitingThis a blue diamond, I drop gems, I drop hymnsI got the juice, it feel like Pac' when he popped SteelYou liking these rappers you think that they hot, but they not real
I don't stop when I drop off the top of the knot and get a cop killedLookin' for the best in the world, well, I'm here so that slot filledYou niggas suck, you really don't wanna know how Doc feelThis is all varsity, artistry, architect for the art of itRevampin' the culture, I'm just happy to be a part of it
Got this shit locked, my nigga more bars than the law from itFlint Michigan listenin', you are witnessin' dominance
Fulfillin' my promises, it ain't even a matter of common senseThe difference between us is obvious
My nigga, just look where the comma sits
For real","2014"
"58","Lil Durk","[Verse]Mama raised me DOLO, all I know is YOLOI came from USPA to rockin' regular Polo
TEC-9's to JoJo's, to bezels that got four rolls
Hoppin' out of four doors, shoot up a party ASAPHated schools stay strapped
I can't say I hate rap
Nights I had to play that
Just so I'd have somewhere to lay at
2 sisters, 1 brother, 4 empty rooms, no cover[?] car cut short, she sold it for some G money
I'm here everyday with my niggas claimin' 300
Jam lock, Tim lock, Law Lock, 40 lock
More ops and more op thats why I can't keep my 40 GlockFelon below [?]
But I carry anyway
Learn lesson, learn life
Realest them have shot at me
Snitchin' didn't apply to me
Kept it closed happily[?] doin' good, [?] doin good
Twin totin' on parole he still in the hood
[?] sayin' since day one still up to no good
Nuski got the strap still will burn you like some woodMy daddy went down for the set we beef with now
I respect my hundred grand but I'm in the streets now
My motto is my motto i'm playin' for keeps now
Its body for a bodyYou send shots we send em back
Time for my first case, your lady got sent backThey say I'm startin' violence, say I'm promotin' violence
They talked about Jesus so, me I kept it quiet
The jungle with the snakes, I see threats but I'm a lionThese real rap niggas rap real but they be lyin'
And Imma keep it 300","2014"
"59","Jarren Benton","[Verse 1]
My brain works like a deranged jerkI ain't scared of you bitches we can both perish inside of the same dirt
I'm right beside you we can both ride in the same hearseA fucking weirdo, we cannot be from the same earthI eat battery acid and shit asbestos
It hurts when I fucking she tell me I'm too aggresiveFuck a fashion show, I don't argue about who the freshestI'm a creature, I will eat you, detach a head from your necklaceAgh, I wish a motherfucking hater would
""It's Mr. Benton, baby, there goes the neighborhood!""
Don't make me flip and put this heater in your mouthFuck eggs, I will throw Justin Bieber at your house
I'm Dr. Malachi Z. York, eating pork with a metal forkMaking it hard to pop for your niggas like a metal corkThrow a bucket of piss at the judge when I'm at the court
Make sure a nigga fresh to death when I'm at the morgueXXL! XXL! Mr. Benton on this bitch, I bet that cover go sellTell Lucifer step aside as I hover through hellMake a sweater out your face like I'm Buffalo BillI fuck up the ozone when I'm spitting this fluidI can't tell them to suck my dick because these haters gon' do it
[Outro]
Jarren, er-i-er Benton","2014"
